"","Publisher","Global_Sales","NA_Sales","EU_Sales","JP_Sales","Other_Sales"
"492","System 3",0.0733333333333333,0.0266666666666667,0.0333333333333333,0,0.01
"493","System 3 Arcade Software",0.128571428571429,0.0685714285714286,0.045,0,0.0142857142857143
"494","System Soft",0.0125,0,0,0.0125,0
"495","T&E Soft",0.12,0,0,0.12,0
"496","Taito",0.149473684210526,0.0215789473684211,0.00473684210526316,0.112631578947368,0.01
"497","Takara",0.215625,0.01,0.00375,0.19625,0.005
"498","Takara Tomy",0.072972972972973,0.0205405405405405,0.000810810810810811,0.05,0.00216216216216216
"499","Take-Two Interactive",0.967409200968523,0.533874092009685,0.286053268765133,0.0141162227602906,0.133753026634383
"500","Takuyo",0.01,0,0,0.01,0
"501","TalonSoft",0.87,0.49,0.33,0,0.06
"502","TDK Core",0.124,0.048,0.024,0.05,0.002
"503","TDK Mediactive",0.230833333333333,0.150277777777778,0.0672222222222222,0,0.0125
"504","Team17 Software",0.05,0,0.04,0,0.01
"505","Technos Japan Corporation",0.02,0,0,0.02,0
"506","TechnoSoft",0.05,0.03,0.02,0,0
"507","Tecmo Koei",0.158431952662722,0.0416568047337278,0.0209467455621302,0.0864201183431953,0.00940828402366864
"508","Telegames",0.12875,0.11375,0.0075,0,0.0075
"509","Telltale Games",0.1088,0.0512,0.04,0.0012,0.0156
"510","Telstar",0.09,0.0533333333333333,0.0333333333333333,0,0.00666666666666667
"511","Tetris Online",0.43,0.2,0.13,0.06,0.03
"512","TGL",0.025,0,0,0.025,0
"513","The Adventure Company",0.102,0.068,0.026,0,0.01
"514","The Learning Company",0.05,0.03,0.02,0,0
"515","THQ",0.476601398601399,0.291986013986014,0.13248951048951,0.00700699300699301,0.044951048951049
"516","Tigervision",0.473333333333333,0.443333333333333,0.03,0,0.00333333333333333
"517","Time Warner Interactive",0.07,0.036,0.024,0,0.006
"518","Titus",0.174736842105263,0.103157894736842,0.0568421052631579,0.00368421052631579,0.0105263157894737
"519","Tivola",0.0566666666666667,0.0266666666666667,0.0233333333333333,0,0.00666666666666667
"520","TOHO",0.11,0,0,0.11,0
"521","Tommo",0.042,0.04,0,0,0
"522","Tomy Corporation",0.276111111111111,0.102222222222222,0.0416666666666667,0.117777777777778,0.0138888888888889
"523","TopWare Interactive",0.03,0,0.025,0,0.005
"524","Touchstone",0.395,0.22,0.125,0.005,0.0475
"525","Tradewest",0.0366666666666667,0.00666666666666667,0.02,0,0.00333333333333333
"526","Trion Worlds",0.2875,0.18,0.075,0,0.0275
"527","Tripwire Interactive",0.14,0.04,0.07,0,0.02
"528","Tru Blu Entertainment",0.035,0.00125,0.03125,0,0.0025
"529","Tryfirst",0.03,0,0,0.03,0
"530","TYO",0.42,0.23,0.16,0,0.03
"531","Type-Moon",0.1,0,0,0.1,0
"532","U.S. Gold",0.0825,0.0475,0.0325,0,0.005
"533","Ubisoft",0.515439739413681,0.275168295331162,0.177328990228013,0.00814332247557003,0.05457111834962
"534","Ubisoft Annecy",0.318571428571429,0.0907142857142857,0.0471428571428571,0.162857142857143,0.0192857142857143
"535","UEP Systems",2.25,1.52,0.46,0.2,0.08
"536","UFO Interactive",0.06,0.0575,0,0,0.0025
"537","UIG Entertainment",0.01,0,0.01,0,0
"538","Ultravision",0.47,0.44,0.03,0,0
"539","Universal Gamex",0.63,0.58,0.04,0,0.01
"540","Universal Interactive",0.772608695652174,0.394782608695652,0.292608695652174,0.0104347826086957,0.0760869565217391
"541","Unknown",0.170738916256158,0.0910837438423645,0.0370935960591133,0.0298522167487685,0.0122167487684729
"542","Valcon Games",0.05625,0.03875,0.01,0,0.00375
"543","ValuSoft",0.0975,0.065,0.0225,0,0.01
"544","Valve",1.74,0.83,0.63,0.02,0.25
"545","Valve Software",1.07666666666667,0.58,0.383333333333333,0.00333333333333333,0.106666666666667
"546","Vap",0.05,0,0,0.05,0
"547","Vatical Entertainment",0.11,0.07,0.035,0,0.005
"548","Vic Tokai",0.135,0.095,0.04,0,0.005
"549","Victor Interactive",0.0988888888888889,0.0122222222222222,0.00888888888888889,0.0755555555555556,0.00222222222222222
"550","Video System",0.545,0.1675,0.26,0.0925,0.0225
"551","Views",0.015,0,0,0.015,0
"552","Vir2L Studios",0.0866666666666667,0.0733333333333333,0.00333333333333333,0,0.00333333333333333
"553","Virgin Interactive",0.70758064516129,0.306290322580645,0.208709677419355,0.144193548387097,0.0488709677419355
"554","Virtual Play Games",0.03,0.03,0,0,0
"555","Visco",0.02,0.02,0,0,0
"556","Vivendi Games",0.354939024390244,0.225609756097561,0.0978048780487805,0.00140243902439024,0.0297560975609756
"557","Wanadoo",0.13,0.06,0.042,0.012,0.014
"558","Warashi",0.02,0,0,0.02,0
"559","Wargaming.net",0.29,0,0.23,0,0.06
"560","Warner Bros. Interactive Entertainment",0.663318965517241,0.349913793103448,0.228965517241379,0.00448275862068965,0.08
"561","Warp",0.07,0,0,0.07,0
"562","WayForward Technologies",0.05,0.05,0,0,0.01
"563","Westwood Studios",1.55,1.55,0,0,0
"564","White Park Bay Software",0.16,0.13,0.01,0,0.01
"565","Wizard Video Games",0.62,0.58,0.03,0,0.01
"566","Xicat Interactive",0.0566666666666667,0.03,0.02,0,0.00333333333333333
"567","Xing Entertainment",0.24,0.04,0.03,0.16,0.02
"568","Xplosiv",0.164,0.061,0.086,0,0.017
"569","XS Games",0.121666666666667,0.0983333333333333,0.0141666666666667,0,0.00916666666666667
